Player name,Player_Role,Team,BattingStyle,BowlingStyle,Images
Rahmanullah Gurbaz,Wicketkeeper Batter,Afghanistan  ,Right hand Bat,Right arm Medium,
Hazratullah Zazai,Opening Batter,Afghanistan  ,Left hand Bat,Slow Left arm Orthodox,
Ibrahim Zadran,Opening Batter,Afghanistan  ,Right hand Bat,Right arm Medium fast,
Mohammad Ishaq,Wicketkeeper Batter,Afghanistan  ,Right hand Bat,,
Najibullah Zadran,Middle order Batter,Afghanistan  ,Left hand Bat,Right arm Offbreak,
Rashid Khan,Bowling Allrounder,Afghanistan  ,Right hand Bat,Legbreak Googly,
Azmatullah Omarzai,Allrounder,Afghanistan  ,Right hand Bat,Right arm Medium fast,
Gulbadin Naib,Batting Allrounder,Afghanistan  ,Right hand Bat,Right arm Medium fast,
Karim Janat,Bowling Allrounder,Afghanistan  ,Right hand Bat,Right arm Medium,
Mohammad Nabi,Allrounder,Afghanistan  ,Right hand Bat,Right arm Offbreak,
Nangeyalia Kharote,Allrounder,Afghanistan  ,Left hand Bat,Slow Left arm Orthodox,
Fareed Ahmad,Bowler,Afghanistan  ,Left hand Bat,Left arm Fast medium,
Fazalhaq Farooqi,Bowler,Afghanistan  ,Right hand Bat,Left arm Fast medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352444/fazalhaq-farooqi.jpg
Naveen-ul-Haq,Bowler,Afghanistan  ,Right hand Bat,Right arm Medium fast,
Noor Ahmad,Bowler,Afghanistan  ,Right hand Bat,Left arm Wrist spin,
Mujeeb Ur Rahman,Bowler,Afghanistan  ,Right hand Bat,Right arm Offbreak,
Tim David,Middle order Batter,Australia  ,Right hand Bat,Right arm Offbreak,
Travis Head,Top order Batter,Australia  ,Left hand Bat,Right arm Offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c332908/travis-head.jpg
Josh Inglis,Wicketkeeper Batter,Australia  ,Right hand Bat,,
Matthew Wade,Wicketkeeper Batter,Australia  ,Left hand Bat,Right arm Medium,
David Warner,Opening Batter,Australia  ,Left hand Bat,Legbreak,
Mitchell Marsh,Allrounder,Australia  ,Right hand Bat,Right arm Medium,
Cameron Green,Batting Allrounder,Australia  ,Right hand Bat,Right arm Fast medium,
Glenn Maxwell,Batting Allrounder,Australia  ,Right hand Bat,Right arm Offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352454/glenn-maxwell.jpg
Marcus Stoinis,Batting Allrounder,Australia  ,Right hand Bat,Right arm Medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352453/marcus-stoinis.jpg
Ashton Agar,Bowler,Australia  ,Left hand Bat,Slow Left arm Orthodox,
Pat Cummins,Bowler,Australia  ,Right hand Bat,Right arm Fast,
Nathan Ellis,Bowler,Australia  ,Right hand Bat,Right arm Fast medium,
Josh Hazlewood,Bowler,Australia  ,Left hand Bat,Right arm Fast medium,
Mitchell Starc,Bowler,Australia  ,Left hand Bat,Left arm Fast,
Adam Zampa,Bowler,Australia  ,Right hand Bat,Legbreak Googly,
Najmul Hossain Shanto,Top order Batter,Bangladesh  ,Left hand Bat,Right arm Offbreak,
Jaker Ali,Wicketkeeper Batter,Bangladesh  ,Right hand Bat,Right arm Offbreak,
Litton Das,Wicketkeeper Batter,Bangladesh  ,Right hand Bat,Right arm Offbreak,
Tanzid Hasan,Opening Batter,Bangladesh  ,Left hand Bat,,
Towhid Hridoy,Top order Batter,Bangladesh  ,Right hand Bat,Right arm Offbreak,
Mahedi Hasan,Allrounder,Bangladesh  ,Right hand Bat,Right arm Offbreak,
Mahmudullah,Allrounder,Bangladesh  ,Right hand Bat,Right arm Offbreak,
Shakib Al Hasan,Allrounder,Bangladesh  ,Left hand Bat,Slow Left arm Orthodox,
Soumya Sarkar,Batting Allrounder,Bangladesh  ,Left hand Bat,Right arm Medium fast,
Taskin Ahmed,Bowler,Bangladesh  ,Left hand Bat,Right arm Fast,
Mustafizur Rahman,Bowler,Bangladesh  ,Left hand Bat,Left arm Fast medium,
Rishad Hossain,Bowler,Bangladesh  ,Right hand Bat,Legbreak Googly,
Shoriful Islam,Bowler,Bangladesh  ,Left hand Bat,Left arm Fast medium,
Tanvir Islam,Bowler,Bangladesh  ,Left hand Bat,Slow Left arm Orthodox,
Tanzim Hasan Sakib,Bowler,Bangladesh  ,Right hand Bat,Right arm Fast medium,
Navneet Dhaliwal,Middle order Batter,Canada  ,Right hand Bat,Right arm Medium fast,
Aaron Johnson,Batter,Canada  ,Right hand Bat,Right arm Offbreak,
Shreyas Movva,Wicketkeeper Batter,Canada  ,Right hand Bat,,
Ravinderpal Singh,Batter,Canada  ,Right hand Bat,Right arm Offbreak,
Saad Bin Zafar,Allrounder,Canada  ,Left hand Bat,Slow Left arm Orthodox,
Dilpreet Bajwa,Allrounder,Canada  ,Right hand Bat,Right arm Offbreak,
Junaid Siddiqui,Allrounder,Canada  ,Right hand Bat,Legbreak,
Nicholas Kirton,Batting Allrounder,Canada  ,Left hand Bat,,
Pargat Singh,Allrounder,Canada  ,Right hand Bat,Right arm Offbreak,
Rayyan Pathan,Batting Allrounder,Canada  ,Right hand Bat,Right arm Fast medium,
Harsh Thaker,Allrounder,Canada  ,Right hand Bat,Right arm Offbreak,
Nikhil Dutta,Bowler,Canada  ,Right hand Bat,Right arm Offbreak,
Jeremy Gordon,Bowler,Canada  ,Right hand Bat,Right arm Fast medium,
Dilon Heyliger,Bowler,Canada  ,Right hand Bat,Right arm Medium,
Rishiv Joshi,Bowler,Canada  ,Right hand Bat,Left arm Medium fast,
Kaleem Sana,Bowler,Canada  ,Right hand Bat,Left arm Medium fast,
Jos Buttler,Wicketkeeper Batter,England  ,Right hand Bat,,
Jonny Bairstow,Wicketkeeper Batter,England  ,Right hand Bat,Right arm Medium,
Harry Brook,Batter,England  ,Right hand Bat,Right arm Medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244815/harry-brook.jpg
Ben Duckett,Top order Batter,England  ,Left hand Bat,Right arm Offbreak,
Phil Salt,Wicketkeeper Batter,England  ,Right hand Bat,Right arm Offbreak,
Moeen Ali,Batting Allrounder,England  ,Left hand Bat,Right arm Offbreak,
Sam Curran,Allrounder,England  ,Left hand Bat,Left arm Medium fast,
Will Jacks,Batting Allrounder,England  ,Right hand Bat,Right arm Offbreak,
Liam Livingstone,Batting Allrounder,England  ,Right hand Bat,"Right arm Offbreak, Legbreak",
Jofra Archer,Bowler,England  ,Right hand Bat,Right arm Fast,
Tom Hartley,Bowler,England  ,Left hand Bat,Slow Left arm Orthodox,
Chris Jordan,Bowler,England  ,Right hand Bat,Right arm Fast medium,
Adil Rashid,Bowler,England  ,Right hand Bat,Legbreak,
Reece Topley,Bowler,England  ,Right hand Bat,Left arm Fast medium,
Mark Wood,Bowler,England  ,Right hand Bat,Right arm Fast,
Rohit Sharma,Top order Batter,India  ,Right hand Bat,Right arm Offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c577755/rohit-sharma.jpg
Yashasvi Jaiswal,Opening Batter,India  ,Left hand Bat,Legbreak,
Virat Kohli,Top order Batter,India  ,Right hand Bat,Right arm Medium,
Rishabh Pant,Wicketkeeper Batter,India  ,Left hand Bat,,
Sanju Samson,Wicketkeeper Batter,India  ,Right hand Bat,,
Suryakumar Yadav,Batter,India  ,Right hand Bat,"Right arm Medium, Right arm Offbreak",
Hardik Pandya,Allrounder,India  ,Right hand Bat,Right arm Medium fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352482/hardik-pandya.jpg
Shivam Dube,Allrounder,India  ,Left hand Bat,Right arm Medium,
Ravindra Jadeja,Allrounder,India  ,Left hand Bat,Slow Left arm Orthodox,
Axar Patel,Allrounder,India  ,Left hand Bat,Slow Left arm Orthodox,
Arshdeep Singh,Bowler,India  ,Left hand Bat,Left arm Medium fast,
Jasprit Bumrah,Bowler,India  ,Right hand Bat,Right arm Fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c577591/jasprit-bumrah.jpg
Yuzvendra Chahal,Bowler,India  ,Right hand Bat,Legbreak Googly,
Kuldeep Yadav,Bowler,India  ,Left hand Bat,Left arm Wrist spin,
Mohammed Siraj,Bowler,India  ,Right hand Bat,Right arm Fast,
Ross Adair,Top order Batter,Ireland  ,Right hand Bat,Slow Left arm Orthodox,
Andy Balbirnie,Batter,Ireland  ,Right hand Bat,Right arm Offbreak,
Neil Rock,Wicketkeeper Batter,Ireland  ,Left hand Bat,,
Harry Tector,Middle order Batter,Ireland  ,Right hand Bat,Right arm Offbreak,
Lorcan Tucker,Wicketkeeper Batter,Ireland  ,Right hand Bat,,
Paul Stirling,Batting Allrounder,Ireland  ,Right hand Bat,Right arm Offbreak,
Mark Adair,Bowling Allrounder,Ireland  ,Right hand Bat,Right arm Fast medium,
Curtis Campher,Allrounder,Ireland  ,Right hand Bat,Right arm Medium fast,
Gareth Delany,Batting Allrounder,Ireland  ,Right hand Bat,Legbreak Googly,
George Dockrell,Allrounder,Ireland  ,Right hand Bat,Slow Left arm Orthodox,
Graham Hume,Bowler,Ireland  ,Left hand Bat,Right arm Fast medium,
Josh Little,Bowler,Ireland  ,Right hand Bat,Left arm Fast medium,
Barry McCarthy,Bowler,Ireland  ,Right hand Bat,Right arm Fast medium,
Ben White,Bowler,Ireland  ,Right hand Bat,Legbreak,
Craig Young,Bowler,Ireland  ,Right hand Bat,Right arm Fast medium,
Nikolaas Davin,Batter,Namibia  ,Right hand Bat,Legbreak,
Zane Green,Wicketkeeper Batter,Namibia  ,Left hand Bat,,
JP Kotze,Batter,Namibia  ,Left hand Bat,,
Malan Kruger,Batter,Namibia  ,Right hand Bat,,
Dylan Leicher,Middle order Batter,Namibia  ,Right hand Bat,Right arm Medium,
Gerhard Erasmus,Allrounder,Namibia  ,Right hand Bat,Right arm Offbreak,
JJ Smit,Bowling Allrounder,Namibia  ,Right hand Bat,Left arm Medium fast,
Jan Frylinck,Allrounder,Namibia  ,Left hand Bat,Left arm Fast medium,
Michael van Lingen,Bowling Allrounder,Namibia  ,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",
David Wiese,Allrounder,Namibia  ,Right hand Bat,Right arm Medium fast,
Peter-Daniel Blignaut,Bowler,Namibia  ,Right hand Bat,Slow Left arm Orthodox,
Jack Brassell,Bowler,Namibia  ,Right hand Bat,Right arm Medium,
Tangeni Lungameni,Bowler,Namibia  ,Right hand Bat,Left arm Medium,
Bernard Scholtz,Bowler,Namibia  ,Right hand Bat,Slow Left arm Orthodox,
Ben Shikongo,Bowler,Namibia  ,Right hand Bat,Right arm Medium fast,
Ruben Trumpelmann,Bowler,Namibia  ,Right hand Bat,Left arm Fast,
Aasif Sheikh,Wicketkeeper Batter,Nepal  ,Right hand Bat,,
Dipendra Singh Airee,Middle order Batter,Nepal  ,Right hand Bat,"Right arm Medium, Right arm Offbreak",
Kushal Bhurtel,Opening Batter,Nepal  ,Right hand Bat,Legbreak Googly,
Sundeep Jora,Middle order Batter,Nepal  ,Right hand Bat,,
Anil Sah,Wicketkeeper,Nepal  ,Right hand Bat,Right arm Offbreak,
Rohit Paudel,Batting Allrounder,Nepal  ,Right hand Bat,Right arm Offbreak,
Gulsan Jha,Allrounder,Nepal  ,Left hand Bat,Right arm Medium,
Karan KC,Allrounder,Nepal  ,Right hand Bat,Right arm Fast,
Kushal Malla,Batting Allrounder,Nepal  ,Left hand Bat,Slow Left arm Orthodox,
Sompal Kami,Bowling Allrounder,Nepal  ,Right hand Bat,Right arm Fast medium,
Pratis GC,Bowling Allrounder,Nepal  ,Right hand Bat,Left arm Medium,
Kamal Airee,Bowler,Nepal  ,Right hand Bat,Right arm Medium,
